User ID;Name;Username;Bio;Location;Profile URL;Profile Image URL;Tweet Count;Follower Count;Following Count;Favorites Count;Media Count;Can DM;Created At;Verified;Blue Verified;Default Profile;Default Profile Image;Protected
1,81799E+18;Dr Ann Clayton MD;ann53966;The people we care for become part of our life♥️;Los Angeles, CA;https://x.com/ann53966;https://pbs.twimg.com/profile_images/1817988519966511104/xLJnZkTU_normal.jpg;11;83;1703;10;0;No;Mon Jul 29 18:19:28 +0000 2024;No;No;Yes;No;No
1,83101E+18;thitieaja;thitieaja153088;;;https://x.com/thitieaja153088;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;22;0;0;No;Tue Sep 03 16:37:40 +0000 2024;No;No;Yes;Yes;No
1,83063E+18;Winda Fibria;FibriaWinda;;;https://x.com/FibriaWinda;https://pbs.twimg.com/profile_images/1830630253745840128/fhb-_pdi_normal.png;0;2;103;0;0;No;Mon Sep 02 15:33:58 +0000 2024;No;No;Yes;No;No
1,83101E+18;ari gayu;AriGayu16320;;;https://x.com/AriGayu16320;https://pbs.twimg.com/profile_images/1831007764187095041/GcjeG_er_normal.png;0;0;51;0;0;No;Tue Sep 03 16:34:03 +0000 2024;No;No;Yes;No;No
1,49954E+18;Iwan Setiawan;IwanSet88685661;;;https://x.com/IwanSet88685661;https://pbs.twimg.com/profile_images/1499541400500981760/0iK8cV6m_normal.png;1;0;33;1;0;Yes;Fri Mar 04 00:25:04 +0000 2022;No;No;Yes;No;No
1,83101E+18;ichal;ichal1284;;;https://x.com/ichal1284;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;16;0;0;Yes;Tue Sep 03 16:31:05 +0000 2024;No;No;Yes;Yes;No
1,83101E+18;Afsari Ibrahim;afs80817;;;https://x.com/afs80817;https://pbs.twimg.com/profile_images/1831007113025654784/8JxBJRhL_normal.png;0;0;4;0;0;No;Tue Sep 03 16:31:28 +0000 2024;No;No;Yes;No;No
1,81018E+18;Qall-My Name! ~;qall_my;Cwk random;;https://x.com/qall_my;https://pbs.twimg.com/profile_images/1831006920205123584/-a01ppyA_normal.jpg;0;0;6;34;0;No;Mon Jul 08 04:59:54 +0000 2024;No;No;Yes;No;No
1,83101E+18;Suci sundari;Sucisundar16833;;;https://x.com/Sucisundar16833;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;19;2;0;No;Tue Sep 03 16:29:02 +0000 2024;No;No;Yes;Yes;No
1,34176E+18;N̰̜͉͔ͬ̽͢ę̷̵̧̖̫̗̆̊m̶̷͔ͪ̽͡ȍ̸̢̢̮͚̐̚;kilth_filth;🕋just a creature of الله🕋 🏴anti-jokoplo family & his minions🏴anti-the secret society the one they so-called whom acting & playing god🏴;;https://x.com/kilth_filth;https://pbs.twimg.com/profile_images/1662118245246320640/043vO5zh_normal.jpg;317;485;454;288;2;No;Wed Dec 23 14:51:05 +0000 2020;No;No;Yes;No;No
